lat,lng,csq
23.7485959,90.3937388,24.99
23.7494994,90.3931809,26.99
23.7510313,90.3925371,24.99
23.7510313,90.3930092,24.99
23.7521705,90.3921509,23.99
23.7518923,90.3923261,27.99
23.7529528,90.3920043,23.99
23.7535617,90.3916609,28.99
23.7542098,90.3913176,25.99
23.7549364,90.3911889,27.99
23.75529,90.3909958,23.99
23.7559184,90.3909099,27.99
23.7566058,90.3904593,27.99
23.7570772,90.3904593,26.99
23.7577645,90.3900731,27.99
23.7526779,90.4011023,27.99
23.7532081,90.4008019,26.99
23.7536599,90.4003942,26.99
23.7541705,90.4002226,28.99
23.7547204,90.3997719,24.99
23.7554078,90.3994715,24.99
23.7561737,90.3992784,28.99
23.7565862,90.3989566,26.99
23.7551721,90.3996432,27.99
23.7558202,90.3994072,27.99
