lat,lng,csq
23.739967,90.37571,15.99
23.739395,90.375595,15.99
23.741393,90.374846,15.99
23.74076843,90.37559509,15.99
23.738537,90.378513,15.99
23.738937,90.379257,15.99
23.73939514,90.38108826,15.99
23.739395,90.381432,15.99
23.739395,90.381317,15.99
23.740082,90.382462,15.99
23.73967,90.385345,15.99
23.737875,90.385839,15.99
23.738708,90.383835,15.99
23.739395,90.385797,15.99
23.739166,90.390701,15.99
23.739395,90.389786,15.99
23.740144,90.391575,15.99
23.739395,90.392761,15.99
23.74214172,90.39207458,15.99
23.743343,90.392075,15.99
23.746262,90.393252,15.99
23.746536,90.395096,15.99
23.738939,90.383835,15.99
23.737335,90.370102,15.99
23.72786,90.36543,15.99
23.737106,90.397568,15.99
23.742485,90.397568,15.99
23.741583,90.395748,15.99
23.745438,90.394547,15.99
23.746262,90.39299,15.99
23.74488831,90.39207458,15.99
23.74214172,90.39070129,15.99
23.741798,90.390701,15.99
23.742564,90.382462,20.99
23.744888,90.382187,20.99
23.747439,90.3805,20.99
23.74900818,90.37971497,20.99
23.749704,90.393127,20.99
23.740819,90.399907,20.99
23.741903,90.398067,20.99
23.742447,90.396521,20.99
23.740346,90.396089,20.99
23.738345,90.395871,20.99
23.738058,90.395345,20.99
23.738272,90.390951,20.99
23.73939514,90.389328,20.99
23.739395,90.387039,20.99
23.739395,90.385551,20.99
23.739395,90.384064,20.99
23.73939514,90.38383484,20.99
23.740158,90.383072,20.99
23.74076843,90.38246155,20.99
23.74214172,90.38246155,20.99
23.743362,90.395584,20.99
23.745477,90.394952,20.99
23.746984,90.39446,20.99
23.74900818,90.39344788,20.99
23.746691,90.393963,20.99
23.747635,90.385895,20.99
23.746927,90.385416,20.99
23.74488831,90.38520813,20.99
23.744545,90.385208,20.99
23.743103,90.383835,20.99
23.747841,90.393173,20.99
23.749184,90.393413,20.99
23.74763489,90.37971497,20.99
23.745461,90.38166,20.99
23.746262,90.38396,20.99
23.7462616,90.38520813,20.99
23.74958,90.386581,20.99
23.749238,90.390015,30.99
23.749897,90.393305,30.99
23.749554,90.389913,30.99
23.747902,90.386772,30.99
23.748032,90.388135,30.99
23.74763489,90.389328,30.99
23.747635,90.390444,30.99
23.748604,90.387026,30.99
23.747141,90.370974,30.99
23.749258,90.369727,30.99
23.744659,90.372322,30.99
23.742861,90.373482,30.99
23.740713,90.374816,30.99
23.739326,90.375595,30.99
23.738566,90.37761,30.99
23.73855,90.376018,30.99
23.738756,90.379108,30.99
23.739375,90.38179,30.99
23.738524,90.38122,30.99
23.73902,90.379041,30.99
23.741465,90.38334,30.99
23.739062,90.38423,30.99
23.739284,90.388734,30.99
23.739029,90.390427,30.99
23.738709,90.391625,30.99
23.737997,90.394172,30.99
23.737774,90.39607,30.99
23.734776,90.395445,30.99
23.732986,90.395737,30.99
23.731436,90.397035,30.99
23.72871,90.399979,30.99
23.748802,90.379509,30.99
23.748277,90.379768,30.99
23.746702,90.380909,30.99
23.744789,90.382139,30.99
23.743084,90.38265,30.99
23.740768,90.382719,30.99
23.739395,90.386905,30.99
23.73939514,90.38795471,30.99
23.737556,90.39869,30.99
23.733752,90.392749,30.99
23.741129,90.397433,30.99
23.742181,90.396828,30.99
23.74493,90.395094,30.99
23.746533,90.395279,30.99
23.747924,90.394062,30.99
23.749091,90.386082,30.99
23.748754,90.370893,30.99
23.748188,90.372652,30.99
23.748216,90.373377,30.99
23.73939514,90.37559509,30.99
23.738268,90.383794,30.99
23.736627,90.383816,30.99
23.733845,90.38415,30.99
23.732455,90.384603,30.99
23.732328,90.386573,30.99
23.732597,90.389191,30.99
23.732914,90.391805,30.99
23.74754,90.372849,30.99
23.74763489,90.37147522,30.99
23.749001,90.385132,30.99
23.749397,90.385183,30.99
23.74915,90.385219,30.99
23.74900818,90.38246155,30.99
23.748833,90.383455,30.99
23.747731,90.380354,30.99
23.745499,90.380122,30.99
23.744941,90.379979,30.99
23.743159,90.379725,30.99
23.740708,90.38057,30.99
23.739366,90.378283,30.99
23.733847,90.384799,30.99
23.732547,90.384534,30.99
23.732597,90.383293,30.99
23.734137,90.382847,30.99
23.733755,90.380254,30.99
23.736389,90.378886,30.99
23.73834,90.379066,30.99
23.736356,90.380613,30.99
23.736561,90.380652,30.99
23.732943,90.398402,30.99
23.732529,90.395329,30.99
23.738022,90.396538,30.99
23.74900818,90.38520813,30.99
23.744924,90.385097,30.99
23.744225,90.384877,30.99
23.742909,90.384166,30.99
23.737363,90.381456,30.99
23.747364,90.385699,30.99
23.746074,90.385208,30.99
23.741878,90.383729,30.99
23.74900818,90.38520813,30.99
23.749431,90.384469,30.99
23.748646,90.375459,30.99
23.747025,90.376968,30.99
23.746262,90.377998,30.99
23.742142,90.379166,30.99
23.744479,90.382787,30.99
23.74900818,90.38246155,30.99
23.746262,90.377541,30.99
23.725276,90.399714,30.99
23.724976,90.399628,30.99
23.729421,90.398507,30.99
23.72939,90.395606,30.99
23.7311554,90.39482117,30.99
23.743907,90.385012,30.99
23.73915,90.383786,30.99
23.746659,90.393339,30.99
23.73939514,90.37559509,30.99
23.743092,90.387427,30.99
23.740997,90.390472,30.99
23.74214172,90.39070129,30.99
23.74197,90.391594,30.99
23.738668,90.388116,30.99
23.737445,90.386884,30.99
23.72016907,90.38246155,30.99
23.728256,90.385849,30.99
23.74076843,90.37834167,30.99
23.74197,90.385208,30.99
23.74361,90.392027,30.99
23.74488831,90.39207458,30.99
23.746082,90.392234,30.99
23.746262,90.393644,30.99
23.743515,90.398254,30.99
23.742546,90.395225,30.99
23.741085,90.392391,30.99
23.734687,90.388347,30.99
23.73390198,90.38795471,30.99
23.739395,90.396194,30.99
23.736649,90.386513,30.99
23.738022,90.377655,30.99
23.74900818,90.39344788,30.99
23.73802185,90.38795471,30.99
23.74076843,90.389328,30.99
23.742485,90.392075,30.99
23.73664856,90.38383484,30.99
23.73802185,90.38795471,30.99
23.732872,90.385208,30.99
23.743365,90.386581,30.99
23.74351501,90.38658142,30.99
23.743417,90.386581,30.99
23.74214172,90.39619446,30.99
23.728867,90.385666,30.99
23.731155,90.380516,30.99
23.7311554,90.38108826,30.99
23.728924,90.381088,30.99
23.72703552,90.38246155,30.99
23.72786,90.384384,30.99
23.731461,90.395126,30.99
23.73252869,90.37284851,30.99
23.74351501,90.39344788,30.99
23.7462616,90.39756775,30.99
23.745819,90.399783,30.99
23.730698,90.384521,30.99
23.74855,90.37056,30.99
23.746185,90.371399,30.99
23.745918,90.371475,30.99
23.743973,90.372849,30.99
23.738846,90.377518,30.99
23.739395,90.380676,30.99
23.73939514,90.37834167,30.99
23.74214172,90.39619446,30.99
23.73802185,90.39619446,30.99
23.736649,90.383112,15.99
23.74076843,90.38108826,20.99
23.749352,90.368385,15.99
23.73939514,90.38520813,30.99
23.73527527,90.38520813,30.99
23.734589,90.385208,30.99
23.749008,90.398712,15.99
23.72016907,90.39070129,20.99
23.749133,90.397193,30.99
23.731834,90.396199,15.99
23.740754,90.396038,15.99
23.735275,90.399628,15.99
23.736374,90.394547,15.99
23.736149,90.396989,15.99
23.737106,90.394363,15.99
23.738022,90.396979,15.99
23.738022,90.397568,15.99
23.74351501,90.37284851,0.99
23.749695,90.398254,30.99
23.744888,90.385208,30.99
23.74900818,90.38658142,30.99
23.74488831,90.38795471,30.99
23.72703552,90.38108826,15.99
23.72703552,90.38108826,15.99
23.72703552,90.38108826,15.99
23.72703552,90.38108826,15.99
23.72703552,90.38108826,15.99
23.72703552,90.38108826,15.99
23.748521,90.394024,20.99
23.729276,90.397423,20.99
23.724414,90.393323,15.99
23.739738,90.388641,0.99
23.746262,90.3925,0.99
23.746321,90.393707,0.99
23.73390198,90.39894104,30.99
