lat,lng,csq
23.736035,90.407725,"16,99"
23.7360333,90.407725,N/A
23.7360317,90.4077233,N/A
23.7360317,90.4077233,"17,99"
23.73603,90.407725,N/A
23.73603,90.407725,N/A
23.7360317,90.407725,"19,99"
23.7360383,90.40774,N/A
23.7360417,90.4077617,N/A
23.73604,90.4077867,"20,99"
23.7360483,90.40784,N/A
23.7360567,90.4078667,N/A
23.7360683,90.4078917,"19,99"
23.7360617,90.40795,N/A
23.7360583,90.4079833,N/A
23.7360517,90.4080117,"21,99"
23.736025,90.408055,N/A
23.7360283,90.4080717,N/A
23.736025,90.4080917,"24,99"
23.7360233,90.4081367,N/A
23.736025,90.408155,N/A
23.736025,90.408175,"22,99"
23.7360233,90.40821,N/A
23.7360067,90.40824,N/A
23.7360067,90.4082467,"21,99"
23.7360083,90.40829,N/A
23.7360183,90.4083267,N/A
23.736035,90.4083583,"23,99"
23.7360433,90.4084117,N/A
23.736045,90.408435,N/A
23.7360583,90.40847,"18,99"
23.7360433,90.408505,N/A
23.7360433,90.4085317,N/A
23.7360483,90.408555,"22,99"
23.7360467,90.4085883,N/A
23.7360567,90.4086183,N/A
23.736065,90.4086467,"22,99"
23.7360367,90.408675,N/A
23.7360267,90.4087,N/A
23.736035,90.4087183,"22,99"
23.7360517,90.4087517,N/A
23.7360467,90.408775,N/A
23.73605,90.4087967,"20,99"
23.7360367,90.40884,N/A
23.7360317,90.4088617,N/A
23.73603,90.408885,"19,99"
23.7360233,90.408925,N/A
23.7360217,90.4089433,N/A
23.7360183,90.4089583,"16,99"
23.73603,90.409,N/A
23.736025,90.4090217,N/A
23.736025,90.4090583,"15,99"
23.7360283,90.4091067,N/A
23.7360267,90.4091283,N/A
23.7360283,90.409145,"17,99"
23.7360333,90.4091983,N/A
23.7360267,90.40922,N/A
23.73804,90.40348,"27,99"
23.7384483,90.4029617,N/A
23.7382817,90.4032817,N/A
23.73844,90.4031183,"27,99"
23.7385333,90.40294,N/A
23.738565,90.4028567,N/A
23.7385833,90.4028417,"27,99"
23.7385233,90.4029083,N/A
23.7385933,90.4028333,N/A
23.7385567,90.4029283,"27,99"
23.738675,90.402695,N/A
23.7385683,90.4029467,N/A
23.7387133,90.4026017,"27,99"
23.7387717,90.4024817,N/A
23.73877,90.4024917,N/A
23.738795,90.4024767,"27,99"
23.73837,90.4024633,N/A
23.7350317,90.4079233,N/A
23.7350583,90.407945,"27,99"
23.7350483,90.407885,N/A
23.7353317,90.40767,N/A
23.735335,90.4076583,"27,99"
23.73535,90.4076383,N/A
23.7353667,90.407605,N/A
23.7353917,90.40755,"28,99"
23.735415,90.407495,N/A
23.7355767,90.4073633,N/A
23.73573,90.4072367,"26,99"
23.7357833,90.4071783,N/A
23.7358217,90.4071233,N/A
23.7358317,90.4070883,"24,99"
23.7358467,90.4070517,N/A
23.7358467,90.40702,N/A
23.7358467,90.4069867,"27,99"
23.7358817,90.4069333,N/A
23.73594,90.4068667,N/A
23.735965,90.4068267,"25,99"
23.7359833,90.4067933,N/A
23.7359983,90.4067633,N/A
23.7360067,90.4067317,"24,99"
23.7360033,90.4067017,N/A
23.7359983,90.4066717,N/A
23.7359933,90.40664,"23,99"
23.735985,90.4066117,N/A
23.7359783,90.406585,N/A
23.7359683,90.4065633,"18,99"
23.7359517,90.4065467,N/A
23.73593,90.406535,N/A
23.7359067,90.40653,"20,99"
23.73588,90.4065283,N/A
23.735855,90.4065267,N/A
23.7358317,90.406525,"19,99"
23.7358067,90.406525,N/A
23.7357817,90.406525,N/A
23.7357567,90.4065267,"21,99"
23.7357317,90.4065283,N/A
23.7357067,90.4065317,N/A
23.7356817,90.4065317,"20,99"
23.7356567,90.4065333,N/A
23.7356317,90.4065333,N/A
23.73561,90.4065333,"20,99"
23.73559,90.4065317,N/A
23.73557,90.4065317,N/A
23.73555,90.4065317,"20,99"
23.7355333,90.40653,N/A
23.7355167,90.40653,N/A
23.7354983,90.4065267,"19,99"
23.735475,90.406525,N/A
23.7354417,90.4065233,N/A
23.735405,90.40652,"18,99"
23.7353633,90.4065133,N/A
23.7353183,90.406505,N/A
23.73527,90.4064933,"17,99"
23.7352217,90.40648,N/A
23.7351667,90.406465,N/A
23.73511,90.4064467,"17,99"
23.7350517,90.40644,N/A
23.7349867,90.40646,N/A
23.7349317,90.4064683,"15,99"
23.734875,90.4064767,N/A
23.73482,90.40648,N/A
23.73477,90.4064867,"16,99"
23.7347167,90.4064983,N/A
23.734665,90.4065133,N/A
23.7346133,90.40653,"17,99"
23.7345667,90.40654,N/A
23.7345183,90.4065283,N/A
23.73446,90.4065183,"12,99"
23.7343933,90.4065033,N/A
23.7343217,90.4065,N/A
23.7342433,90.40651,"14,99"
23.7341717,90.4065117,N/A
23.7341033,90.4065067,N/A
23.734045,90.4064983,"12,99"
23.7339883,90.4064933,N/A
23.7339217,90.4065033,N/A
23.7338567,90.4065133,"9,99"
23.7338017,90.4065183,N/A
23.7337417,90.40654,N/A
23.733685,90.406555,"7,99"
23.7336317,90.4065533,N/A
23.7335783,90.4065383,N/A
23.7335333,90.40652,"6,99"
23.7334867,90.4065017,N/A
23.7334383,90.4064983,N/A
23.7333883,90.4064883,"7,99"
23.7333383,90.4064767,N/A
23.7332833,90.4064683,N/A
23.7332267,90.40646,"6,99"
23.7331683,90.4064567,N/A
23.7331167,90.4064433,N/A
23.73307,90.4064333,"7,99"
23.733015,90.4064383,N/A
23.7329717,90.4064433,N/A
23.7329367,90.4064383,"7,99"
23.7329,90.4064217,N/A
23.73285,90.40643,N/A
23.7328033,90.406435,"6,99"
23.73274,90.406435,N/A
23.7326733,90.4064317,N/A
23.7326083,90.40643,"3,99"
43.0158883,90.4064283,N/A
23.7324867,90.4064317,N/A
23.7324167,90.406425,"3,99"
23.7323617,90.4064283,N/A
23.73231,90.4064383,N/A
23.7322583,90.40644,"3,99"
23.7322117,90.4064367,N/A
23.732165,90.406435,N/A
23.73215,90.4064083,"2,99"
23.7321233,90.4063933,N/A
23.7320917,90.406385,N/A
23.732055,90.4063783,"10,99"
23.7320183,90.4063683,N/A
23.73197,90.4063617,N/A
23.7319233,90.4063567,"8,99"
23.73188,90.4063433,N/A
23.731835,90.4063317,N/A
23.73179,90.4063183,"10,99"
23.7317467,90.4063117,N/A
23.731705,90.4063,N/A
23.7316667,90.4062967,"8,99"
23.7316283,90.406285,N/A
23.7315883,90.40627,N/A
23.7315483,90.406255,"10,99"
23.7315083,90.4062467,N/A
23.73145,90.4062683,N/A
23.7313933,90.4062817,"10,99"
23.7313483,90.4062817,N/A
23.7313067,90.406275,N/A
23.731265,90.4062733,"9,99"
23.7312233,90.4062683,N/A
23.7311833,90.406265,N/A
23.7311367,90.4062717,"9,99"
23.7310917,90.4062717,N/A
23.731035,90.4062883,N/A
23.7309883,90.4063033,"9,99"
23.7309617,90.40629,N/A
23.7309283,90.4062833,N/A
23.7308967,90.4062783,"8,99"
23.7308567,90.4062867,N/A
23.73082,90.4062883,N/A
23.7307583,90.4062767,"9,99"
23.7307083,90.406285,N/A
23.7306967,90.40627,N/A
23.7306633,90.4062683,"8,99"
23.7306283,90.4062667,N/A
23.73059,90.4062667,N/A
23.7305517,90.406265,"7,99"
23.7305083,90.4062633,N/A
23.7304667,90.4062617,N/A
23.7304233,90.4062617,"22,99"
23.730385,90.40626,N/A
23.7303483,90.4062583,N/A
23.73032,90.4062533,"21,99"
23.73029,90.4062617,N/A
23.7302667,90.4062717,N/A
23.7302433,90.4062883,"21,99"
23.7302217,90.4063167,N/A
23.7302083,90.4063417,N/A
23.73021,90.4063383,"17,99"
23.730215,90.4063333,N/A
23.730215,90.406335,N/A
23.730215,90.406335,"17,99"
23.7302167,90.4063283,N/A
23.7302283,90.4063167,N/A
23.7302467,90.4062967,"19,99"
23.7302617,90.406285,N/A
23.730255,90.4062883,N/A
23.7302267,90.406295,"15,99"
23.7301867,90.4062933,N/A
23.73016,90.406265,N/A
23.730145,90.40623,"18,99"
23.7301333,90.40619,N/A
23.73012,90.40615,N/A
23.7301083,90.40611,"19,99"
23.73009,90.406075,N/A
23.7300783,90.4060517,N/A
23.7300667,90.4060267,"18,99"
23.7300483,90.406,N/A
23.730035,90.4059517,N/A
23.7300317,90.40589,"19,99"
23.7300083,90.405855,N/A
23.73,90.4057917,N/A
23.7299867,90.405735,"16,99"
23.7299717,90.40567,N/A
23.7299683,90.4055967,N/A
23.7299467,90.405535,"16,99"
23.72992,90.40548,N/A
23.7298983,90.4054283,N/A
23.72987,90.40537,"12,99"
23.7298383,90.405315,N/A
23.7298117,90.4052617,N/A
23.7297933,90.4052067,"12,99"
23.7297983,90.4051467,N/A
23.7298033,90.4050967,N/A
23.7298183,90.405055,"13,99"
23.72984,90.4050183,N/A
23.72988,90.4049683,N/A
23.729925,90.4049217,"13,99"
23.72997,90.4048817,N/A
23.730015,90.4048567,N/A
23.730055,90.404845,"7,99"
23.73009,90.404835,N/A
23.730125,90.4048317,N/A
23.7301633,90.404825,"10,99"
23.7302033,90.4048183,N/A
23.73024,90.404815,N/A
23.730275,90.4048133,"10,99"
23.7303033,90.40481,N/A
23.73033,90.4048117,N/A
23.7303567,90.404805,"11,99"
23.7303817,90.4048017,N/A
23.7304183,90.404795,N/A
23.7304633,90.40479,"15,99"
23.7305067,90.40478,N/A
23.7305483,90.4047733,N/A
23.7306067,90.4047633,"14,99"
23.73068,90.40475,N/A
23.7307667,90.4047333,N/A
23.7308617,90.4047183,"14,99"
23.7309633,90.4047,N/A
23.731065,90.404685,N/A
23.731175,90.4046567,"15,99"
23.731285,90.4046383,N/A
23.7314,90.4046217,N/A
23.73152,90.404605,"14,99"
23.7316417,90.40459,N/A
23.7317667,90.4045717,N/A
23.73189,90.4045567,"13,99"
23.7320167,90.4045483,N/A
23.7321467,90.4045267,N/A
23.73228,90.4044867,"13,99"
23.73241,90.4044483,N/A
23.732545,90.4043967,N/A
23.7326733,90.4043333,"13,99"
23.7328017,90.4042633,N/A
23.73292,90.4041917,N/A
23.73303,90.40411,"13,99"
23.7331783,90.4039967,N/A
23.7332233,90.40396,N/A
23.7333133,90.4038833,"11,99"
23.7334017,90.4038083,N/A
23.733485,90.4037433,N/A
23.73357,90.4036917,"9,99"
23.73365,90.4036667,N/A
23.73372,90.4036817,N/A
23.7337783,90.4037267,"9,99"
23.7338133,90.4037883,N/A
23.7338267,90.40385,N/A
23.733825,90.4039117,"9,99"
23.7338233,90.403985,N/A
23.7338233,90.4040667,N/A
23.7338267,90.4041767,"12,99"
23.7338267,90.4043067,N/A
23.733825,90.40443,N/A
23.7338117,90.4045483,"7,99"
23.733805,90.40465,N/A
23.73379,90.4048017,N/A
23.7337817,90.4048533,"7,99"
23.7337733,90.404955,N/A
23.7337633,90.4050567,N/A
23.733755,90.405165,"7,99"
23.7337383,90.4053333,N/A
23.7337333,90.4053917,N/A
23.73372,90.4055017,"4,99"
23.7337117,90.405605,N/A
23.7337,90.40576,N/A
23.733695,90.4058167,"4,99"
23.7336883,90.4059267,N/A
23.73368,90.4060333,N/A
23.73368,90.4061333,"4,99"
23.7336917,90.406225,N/A
23.73371,90.4062933,N/A
23.733735,90.4063317,"4,99"
23.733765,90.4063333,N/A
23.7338167,90.40633,N/A
23.73388,90.40634,"4,99"
23.7339483,90.40636,N/A
23.7340633,90.40639,N/A
23.7341333,90.4064283,"4,99"
23.73421,90.4064583,N/A
23.734245,90.4064783,N/A
23.7343717,90.4064717,"10,99"
23.734455,90.4064683,N/A
23.73453,90.4064583,N/A
23.7346033,90.406445,"11,99"
23.73465,90.4064367,N/A
23.73475,90.406455,N/A
23.7348533,90.406465,"10,99"
23.734995,90.4064467,N/A
23.73504,90.4064417,N/A
23.73517,90.406415,"6,99"
23.7352133,90.4064,N/A
23.735295,90.406355,N/A
23.7353967,90.4063217,"5,99"
23.7355383,90.4062883,N/A
34.0689167,90.40628,N/A
23.7357283,90.4063,"12,99"
23.7358233,90.406315,N/A
23.7358667,90.4063133,N/A
23.7359467,90.40632,"14,99"
23.736005,90.4063417,N/A
23.736065,90.40641,N/A
23.7360817,90.4064667,"10,99"
23.7360783,90.406505,N/A
23.7360833,90.4066217,N/A
23.7360917,90.4066933,"12,99"
23.7361,90.4067717,N/A
23.7361033,90.40686,N/A
23.7361083,90.4069467,"13,99"
23.7361217,90.40702,N/A
23.7361183,90.407085,N/A
23.7361233,90.4071567,"7,99"
23.7361217,90.4072283,N/A
23.7361117,90.4072933,N/A
