lat,lng,csq
23.749249,90.369372,10
23.749249,90.369868,6
23.749249,90.370364,18
23.749249,90.370861,3
23.749249,90.371357,24
23.749249,90.371853,23
23.749249,90.372349,21
23.749249,90.372845,10
23.749249,90.373342,25
23.749249,90.373838,29
23.749249,90.374334,14
23.749249,90.37483,12
23.749249,90.375327,14
23.749249,90.375823,29
23.749249,90.376319,5
23.749249,90.376815,6
23.749249,90.377311,1
23.749249,90.377808,0
23.749249,90.378304,14
23.749249,90.3788,26
23.749249,90.379296,26
23.749249,90.379792,27
23.749249,90.380289,25
23.749249,90.380785,8
23.749249,90.381281,23
23.749249,90.381777,29
23.749249,90.382273,17
23.749249,90.38277,17
23.749249,90.383266,30
23.749249,90.383762,29
23.749249,90.384258,7
23.749249,90.384755,20
23.749249,90.385251,9
23.749249,90.385747,30
23.749249,90.386243,21
23.749249,90.386739,23
23.749249,90.387236,20
23.749249,90.387732,22
23.749249,90.388228,24
23.749249,90.388724,5
23.749249,90.38922,23
23.749249,90.389717,6
23.749249,90.390213,17
23.749249,90.390709,8
23.749249,90.391205,16
23.749249,90.391702,28
23.749249,90.392198,15
23.749249,90.392694,14
23.749249,90.39319,1
23.749249,90.393686,11
23.749249,90.394183,19
23.749249,90.394679,27
23.749249,90.395175,26
23.749249,90.395671,23
23.749249,90.396167,0
23.749249,90.396664,14
23.749249,90.39716,8
23.749249,90.397656,26
23.749249,90.398152,2
23.749249,90.398648,18
23.749249,90.399145,29
23.749249,90.399641,8
23.749249,90.400137,17
23.749249,90.400633,11
23.749249,90.40113,0
23.749249,90.401626,21
23.749249,90.402122,21
23.749249,90.402618,26
23.749249,90.403114,18
23.749249,90.403611,22
23.749249,90.404107,23
23.748895,90.369372,1
23.748895,90.369868,17
23.748895,90.370364,7
23.748895,90.370861,4
23.748895,90.371357,13
23.748895,90.371853,23
23.748895,90.372349,1
23.748895,90.372845,0
23.748895,90.373342,18
23.748895,90.373838,6
23.748895,90.374334,3
23.748895,90.37483,21
23.748895,90.375327,4
23.748895,90.375823,27
23.748895,90.376319,22
23.748895,90.376815,19
23.748895,90.377311,4
23.748895,90.377808,25
23.748895,90.378304,0
23.748895,90.3788,24
23.748895,90.379296,18
23.748895,90.379792,8
23.748895,90.380289,2
23.748895,90.380785,7
23.748895,90.381281,3
23.748895,90.381777,8
23.748895,90.382273,14
23.748895,90.38277,16
23.748895,90.383266,5
23.748895,90.383762,13
23.748895,90.384258,28
23.748895,90.384755,22
23.748895,90.385251,10
23.748895,90.385747,16
23.748895,90.386243,29
23.748895,90.386739,17
23.748895,90.387236,14
23.748895,90.387732,18
23.748895,90.388228,5
23.748895,90.388724,0
23.748895,90.38922,23
23.748895,90.389717,21
23.748895,90.390213,5
23.748895,90.390709,22
23.748895,90.391205,26
23.748895,90.391702,16
23.748895,90.392198,9
23.748895,90.392694,3
23.748895,90.39319,29
23.748895,90.393686,29
23.748895,90.394183,28
23.748895,90.394679,21
23.748895,90.395175,12
23.748895,90.395671,28
23.748895,90.396167,28
23.748895,90.396664,15
23.748895,90.39716,26
23.748895,90.397656,8
23.748895,90.398152,5
23.748895,90.398648,3
23.748895,90.399145,25
23.748895,90.399641,2
23.748895,90.400137,14
23.748895,90.400633,16
23.748895,90.40113,2
23.748895,90.401626,22
23.748895,90.402122,5
23.748895,90.402618,14
23.748895,90.403114,3
23.748895,90.403611,22
23.748895,90.404107,8
23.748541,90.369372,24
23.748541,90.369868,21
23.748541,90.370364,27
23.748541,90.370861,14
23.748541,90.371357,11
23.748541,90.371853,4
23.748541,90.372349,21
23.748541,90.372845,4
23.748541,90.373342,1
23.748541,90.373838,16
23.748541,90.374334,6
23.748541,90.37483,6
23.748541,90.375327,16
23.748541,90.375823,14
23.748541,90.376319,9
23.748541,90.376815,17
23.748541,90.377311,28
23.748541,90.377808,11
23.748541,90.378304,4
23.748541,90.3788,28
23.748541,90.379296,28
23.748541,90.379792,8
23.748541,90.380289,7
23.748541,90.380785,23
23.748541,90.381281,21
23.748541,90.381777,3
23.748541,90.382273,8
23.748541,90.38277,7
23.748541,90.383266,10
23.748541,90.383762,3
23.748541,90.384258,3
23.748541,90.384755,22
23.748541,90.385251,5
23.748541,90.385747,29
23.748541,90.386243,17
23.748541,90.386739,5
23.748541,90.387236,25
23.748541,90.387732,7
23.748541,90.388228,17
23.748541,90.388724,0
23.748541,90.38922,11
23.748541,90.389717,26
23.748541,90.390213,20
23.748541,90.390709,9
23.748541,90.391205,11
23.748541,90.391702,10
23.748541,90.392198,26
23.748541,90.392694,12
23.748541,90.39319,27
23.748541,90.393686,4
23.748541,90.394183,21
23.748541,90.394679,11
23.748541,90.395175,16
23.748541,90.395671,16
23.748541,90.396167,21
23.748541,90.396664,5
23.748541,90.39716,14
23.748541,90.397656,26
23.748541,90.398152,6
23.748541,90.398648,14
23.748541,90.399145,19
23.748541,90.399641,7
23.748541,90.400137,1
23.748541,90.400633,28
23.748541,90.40113,1
23.748541,90.401626,9
23.748541,90.402122,24
23.748541,90.402618,19
23.748541,90.403114,21
23.748541,90.403611,17
23.748541,90.404107,13
23.748187,90.369372,16
23.748187,90.369868,21
23.748187,90.370364,27
23.748187,90.370861,28
23.748187,90.371357,12
23.748187,90.371853,2
23.748187,90.372349,17
23.748187,90.372845,3
23.748187,90.373342,24
23.748187,90.373838,9
23.748187,90.374334,13
23.748187,90.37483,25
23.748187,90.375327,13
23.748187,90.375823,6
23.748187,90.376319,16
23.748187,90.376815,27
23.748187,90.377311,0
23.748187,90.377808,23
23.748187,90.378304,8
23.748187,90.3788,14
23.748187,90.379296,8
23.748187,90.379792,4
23.748187,90.380289,12
23.748187,90.380785,22
23.748187,90.381281,14
23.748187,90.381777,7
23.748187,90.382273,12
23.748187,90.38277,27
23.748187,90.383266,22
23.748187,90.383762,5
23.748187,90.384258,2
23.748187,90.384755,20
23.748187,90.385251,8
