lat,lng,csq
23.7360183,90.4214517,23.99
23.7381067,90.3971,27.99
23.73817,90.39717,31.99
23.7381367,90.3971767,31.99
23.7381133,90.3971767,31.99
23.738115,90.3971633,31.99
23.7381133,90.397095,31.99
23.7381433,90.3970817,31.99
23.7381417,90.3970817,31.99
23.7381233,90.397085,31.99
23.7380783,90.3971183,31.99
23.738065,90.39714,31.99
23.7380967,90.3971017,31.99
23.738055,90.3971217,31.99
23.738025,90.3971433,31.99
23.7379983,90.397155,31.99
23.738055,90.3972017,31.99
23.738115,90.39721,31.99
23.738155,90.3972,31.99
23.7381583,90.39719,30.99
23.738105,90.3971783,30.99
23.73819,90.39734,31.99
23.7381983,90.397345,31.99
23.7381683,90.3973333,31.99
23.738115,90.39731,31.99
23.7381,90.39728,29.99
23.7381033,90.3972867,31.99
23.7380867,90.39728,31.99
23.7380967,90.3972917,31.99
23.7380867,90.39729,31.99
23.7381633,90.3973083,12.99
23.7381667,90.3973017,13.99
23.738145,90.3972783,13.99
23.7381317,90.3972583,16.99
23.7381383,90.3972533,16.99
23.7381583,90.3972433,16.99
23.738155,90.3972783,15.99
23.7381167,90.3972533,13.99
23.73811,90.3971333,8.99
23.73812,90.39697,9.99
23.73809,90.39683,3.99
23.738105,90.39672,3.99
23.73814,90.3966167,3.99
23.73808,90.396515,3.99
23.7379933,90.3963983,7.99
23.7379617,90.3962817,6.99
23.7378467,90.3961933,7.99
23.7377217,90.396155,9.99
23.7376817,90.3961183,5.99
23.7377683,90.3961083,6.99
23.737695,90.3960467,7.99
23.73756,90.3960067,10.99
23.7373633,90.3959767,8.99
23.7372117,90.39598,5.99
23.73715,90.39599,5.99
23.7370267,90.39599,6.99
23.7369017,90.3959567,5.99
23.7366,90.3959367,7.99
23.7362517,90.3959017,5.99
23.7358633,90.395895,4.99
23.7355067,90.3958917,2.99
23.7351483,90.3958633,2.99
23.7349833,90.39587,3.99
23.7349567,90.3958817,6.99
23.7349317,90.39588,6.99
23.7349317,90.3958783,7.99
23.7349233,90.3958783,7.99
23.7348867,90.39585,7.99
23.7349333,90.3958117,7.99
23.7349,90.3957867,7.99
23.7348883,90.3958133,7.99
23.73487,90.3958433,6.99
23.73478,90.3958667,2.99
23.73464,90.3958117,3.99
23.7343533,90.3956233,3.99
23.73406,90.3956267,3.99
23.733965,90.3957017,4.99
23.733075,90.3943,31.99
