lat,lng,csq
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"24,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"24,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"24,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"24,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"24,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"24,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"24,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"18,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
